date,game_pk,hitter_id,hitter,slot,team,opp_pitcher_id,opp_pitcher,season_k_pct,recent_k_pct,opp_pitcher_k_pct,park_factor,matchup_k_pct,expected_pa,proj_ks,line,over_odds,over_book,under_odds,under_book,n_books,p_over,novig_over,edge,ev_over,ev_under,actual_ks,actual_pa,error,over_hit,over_pnl,under_pnl
2026-04-30,823472,656305,Matt Chapman,2,San Francisco Giants,650911,Cristopher Sánchez,0.212,0.231,0.264,1.0,0.258,4.55,1.17,,,,,,0,,,,,,1,5,-0.17,,,
2026-04-30,823795,680728,Adrian Del Castillo,4,Arizona Diamondbacks,605540,Brandon Woodruff,0.311,0.293,0.198,1.0,0.268,4.35,1.17,,,,,,0,,,,,,3,4,1.83,,,
2026-04-30,823391,686780,Pedro Pagés,8,St. Louis Cardinals,694973,Paul Skenes,0.222,0.211,0.303,1.0,0.293,3.95,1.16,,,,,,0,,,,,,2,5,0.84,,,
2026-04-30,823391,804606,Konnor Griffin,7,Pittsburgh Pirates,690928,Hunter Dobbins,0.3,0.316,0.211,1.0,0.287,4.05,1.16,,,,,,0,,,,,,2,4,0.84,,,
2026-04-30,823634,669004,MJ Melendez,3,New York Mets,571945,Miles Mikolas,0.364,0.364,0.157,1.02,0.259,4.45,1.15,,,,,,0,,,,,,0,3,-1.15,,,
2026-04-30,823795,682998,Corbin Carroll,3,Arizona Diamondbacks,605540,Brandon Woodruff,0.276,0.317,0.198,1.0,0.258,4.45,1.15,,,,,,0,,,,,,0,3,-1.15,,,
2026-04-30,823714,672960,Kazuma Okamoto,4,Toronto Blue Jays,641927,Bailey Ober,0.314,0.281,0.195,1.01,0.263,4.35,1.15,,,,,,0,,,,,,0,2,-1.15,,,
2026-04-30,823714,678218,Brandon Valenzuela,9,Toronto Blue Jays,641927,Bailey Ober,0.341,0.341,0.195,1.01,0.299,3.85,1.15,,,,,,0,,,,,,0,2,-1.15,,,
2026-04-30,823472,672275,Patrick Bailey,9,San Francisco Giants,650911,Cristopher Sánchez,0.235,0.277,0.264,1.0,0.295,3.85,1.14,,,,,,0,,,,,,2,4,0.86,,,
2026-04-30,824524,696100,Hunter Goodman,3,Colorado Rockies,671096,Andrew Abbott,0.38,0.412,0.146,1.0,0.254,4.45,1.13,,,,,,0,,,,,,3,5,1.87,,,
